"","Year","State.Abb","State","Topic.Type","Topic.Desc","Measure.Desc","Response","Data.Value.Unit","Data.Value.Type","Data.Value","Data.Value.Std.Err","Low.Confidence.Limit","High.Confidence.Limit","Sample.Size","Gender","Race","Age","Education","Geolocation","Area","Area.Type","Area.Title","Month","Labor.Force","Employment","Unemployment","Unemployment.Rate","id","Employment.Rate","Relative.Sample.Size"
"15",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Aug",1491047,1375647,115400,7.7,"15",92.3,"Large"
"16",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","May",1485686,1365527,120159,8.1,"16",91.9,"Large"
"17",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Oct",1495156,1382706,112450,7.5,"17",92.5,"Large"
"18",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Nov",1497190,1386030,111160,7.4,"18",92.6,"Large"
"19",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Dec",1499542,1389469,110073,7.3,"19",92.7,"Large"
"20",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Sep",1493171,1379303,113868,7.6,"20",92.4,"Large"
"21",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jan",1484820,1357551,127269,8.6,"21",91.4,"Large"
"22",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Feb",1485222,1359711,125511,8.5,"22",91.5,"Large"
"23",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Mar",1485079,1361427,123652,8.3,"23",91.7,"Large"
"24",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","User Status","Not Current","%","Percentage",96.4,0.3,95.8,97,14763,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Apr",1485032,1363198,121834,8.2,"24",91.8,"Large"
"25",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jun",1487005,1368433,118572,8,"25",92,"Small"
"26",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jul",1488879,1371901,116978,7.9,"26",92.1,"Small"
"27",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Aug",1491047,1375647,115400,7.7,"27",92.3,"Small"
"28",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","May",1485686,1365527,120159,8.1,"28",91.9,"Small"
"29",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Oct",1495156,1382706,112450,7.5,"29",92.5,"Small"
"30",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Nov",1497190,1386030,111160,7.4,"30",92.6,"Small"
"31",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Dec",1499542,1389469,110073,7.3,"31",92.7,"Small"
"32",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Sep",1493171,1379303,113868,7.6,"32",92.4,"Small"
"33",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jan",1484820,1357551,127269,8.6,"33",91.4,"Small"
"34",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Feb",1485222,1359711,125511,8.5,"34",91.5,"Small"
"35",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Mar",1485079,1361427,123652,8.3,"35",91.7,"Small"
"36",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",4.1,1,2.2,6,530,"Overall","All Races","18 to 24 Years","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Apr",1485032,1363198,121834,8.2,"36",91.8,"Small"
"37",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jun",1487005,1368433,118572,8,"37",92,"Large"
"38",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jul",1488879,1371901,116978,7.9,"38",92.1,"Large"
"39",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Aug",1491047,1375647,115400,7.7,"39",92.3,"Large"
"40",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","May",1485686,1365527,120159,8.1,"40",91.9,"Large"
"41",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Oct",1495156,1382706,112450,7.5,"41",92.5,"Large"
"42",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Nov",1497190,1386030,111160,7.4,"42",92.6,"Large"
"43",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Dec",1499542,1389469,110073,7.3,"43",92.7,"Large"
"44",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Sep",1493171,1379303,113868,7.6,"44",92.4,"Large"
"45",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jan",1484820,1357551,127269,8.6,"45",91.4,"Large"
"46",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Feb",1485222,1359711,125511,8.5,"46",91.5,"Large"
"47",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Mar",1485079,1361427,123652,8.3,"47",91.7,"Large"
"48",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Smoking Status","Current","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Apr",1485032,1363198,121834,8.2,"48",91.8,"Large"
"49",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jun",1487005,1368433,118572,8,"49",92,"Large"
"50",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jul",1488879,1371901,116978,7.9,"50",92.1,"Large"
"51",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Aug",1491047,1375647,115400,7.7,"51",92.3,"Large"
"52",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","May",1485686,1365527,120159,8.1,"52",91.9,"Large"
"53",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Oct",1495156,1382706,112450,7.5,"53",92.5,"Large"
"54",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Nov",1497190,1386030,111160,7.4,"54",92.6,"Large"
"55",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Dec",1499542,1389469,110073,7.3,"55",92.7,"Large"
"56",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Sep",1493171,1379303,113868,7.6,"56",92.4,"Large"
"57",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jan",1484820,1357551,127269,8.6,"57",91.4,"Large"
"58",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Feb",1485222,1359711,125511,8.5,"58",91.5,"Large"
"59",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Mar",1485079,1361427,123652,8.3,"59",91.7,"Large"
"60",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",24.6,1.3,22,27.2,3235,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Apr",1485032,1363198,121834,8.2,"60",91.8,"Large"
"61",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jun",1487005,1368433,118572,8,"61",92,"Large"
"62",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jul",1488879,1371901,116978,7.9,"62",92.1,"Large"
"63",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Aug",1491047,1375647,115400,7.7,"63",92.3,"Large"
"64",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","May",1485686,1365527,120159,8.1,"64",91.9,"Large"
"65",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Oct",1495156,1382706,112450,7.5,"65",92.5,"Large"
"66",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Nov",1497190,1386030,111160,7.4,"66",92.6,"Large"
"67",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Dec",1499542,1389469,110073,7.3,"67",92.7,"Large"
"68",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Sep",1493171,1379303,113868,7.6,"68",92.4,"Large"
"69",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jan",1484820,1357551,127269,8.6,"69",91.4,"Large"
"70",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Feb",1485222,1359711,125511,8.5,"70",91.5,"Large"
"71",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Mar",1485079,1361427,123652,8.3,"71",91.7,"Large"
"72",2011,"WA","Washington","Tobacco Use – Survey Data","Smokeless Tobacco Use (Adults)","Current Use","","%","Percentage",5.5,0.9,3.8,7.2,3253,"Overall","All Races","Age 25 and Older","12th Grade","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Apr",1485032,1363198,121834,8.2,"72",91.8,"Large"
"73",2011,"WA","Washington","Tobacco Use – Survey Data","Cigarette Use (Adults)","Current Smoking","","%","Percentage",17.5,0.6,16.4,18.6,14683,"Overall","All Races","All Ages","All Grades","(47.52227862900048, -120.47001078999972)","DV","Metropolitan Division","Seattle-Bellevue-Everett, WA Metropolitan Division","Jun",1487005,1368433,118572,8,"73",92,"Large"
